,building,walkMbta,numCraigslistHouse,walkUniversity,house,numCraigslistRoom,sky,lake,crime,person,walkSchool,car,walkPark,grass,sidewalk,road
155,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
156,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
157,0.147,8,1,16,0,0,0,1.121,16,0.047,23,0.047,44,0,0,0
158,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
159,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
160,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
161,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
162,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
163,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
164,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
165,0,10,0,20,4.84,2,0,82.45,13,0,28,0,44,0,5.759,4.854
166,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
167,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
168,0,5,0,4,1.795,0,18.54,54.9,3,0.68,9,0.68,19,0,5.245,5.716
169,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
170,0.292,4,0,5,0.93,0,9.699,75.12,2,1.663,9,1.663,23,0,0.893,2.219
171,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
172,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
173,0,9,3,15,13.85,9,7.956,58.24,7,0.001,20,0.001,39,0,0,1.238
174,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
175,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
176,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
177,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
178,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
179,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
180,0,6,0,6,1.765,1,1.743,66.44,14,2.212,12,2.212,30,0,0.848,1.226
181,0,7,0,15,0.513,2,10.1,66.35,14,12.05,15,12.05,31,0,0.043,0.067
