,index,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price,PricePerSQM
43,87.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.3581,-71.069336,2673,2108.0,2.0,2.0,900.0,83.6127,3200.0,38.2716979598
44,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10704800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,260.9,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.252857,-71.11705,977,2108.0,1.0,1.0,700.0,65.0321,2970.0,45.66975386
45,91.0,0.0,0.0,60.99,2.671,0.0,2.116,6.639,142585895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,10.0,0.0,6.639,1.739,0.053,51.0,20.0,4.167,0.0,0.0,0.099,0.349,0.0,0.096,0.0,0.0,0.0,0.0,0.0,18.16,42.35824,-71.06534,1113,2108.0,1.0,1.0,526.0,48.866978,2250.0,46.0433628615
46,92.0,0.0,0.0,89.47,3.715,0.0,0.743,0.0,269677724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,32.0,11.0,532.1,0.0,0.0,0.085,46.0,22.0,1.04,0.0,0.0,0.0,1.331,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,42.357246,-71.06,1862,2108.0,2.0,2.0,1317.0,122.353251,5500.0,44.9518092494
47,94.0,0.0,0.004,21.7,7.778,0.0,0.178,7.972,15222635.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,6.0,0.0,12.0,0.0,0.0,7.972,2.858,0.0,17.0,0.0,3.109,0.0,0.0,0.017,3.797,0.0,1.45,0.0,0.01,0.0,0.0,0.0,28.66,42.301266,-71.07714,1135,2108.0,2.0,2.0,1000.0,92.903,3675.0,39.5573878131
48,95.0,0.0,0.0,60.99,2.671,0.0,2.116,6.639,142585895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,32.0,10.0,0.0,6.639,1.739,0.053,51.0,20.0,4.167,0.0,0.0,0.099,0.349,0.0,0.096,0.0,0.0,0.0,0.0,0.0,18.16,42.35824,-71.06534,1114,2108.0,1.0,1.0,650.0,60.38695,2300.0,38.0876994119
49,102.0,0.0,0.005,11.29,5.07,0.0,0.0,0.298,84790141.0,0.0,0.0,0.0,0.661,0.0,0.09,0.0,0.0,0.0,33.0,8.0,0.0,0.298,17.96,0.0,43.0,20.0,0.093,0.0,0.0,0.0,2.768,0.0,0.201,0.0,0.44,0.0,0.0,0.0,49.75,42.356724,-71.06812,2733,2108.0,2.0,2.0,1400.0,130.0642,5850.0,44.9777878924
50,109.0,0.0,0.018,23.85,7.066,0.0,1.619,0.236,120456350.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,3.0,0.0,21.0,3.0,0.0,0.236,5.788,0.27,35.0,5.0,2.553,0.0,0.0,0.0,2.429,0.0,0.248,0.707,0.15,0.0,0.0,0.0,13.28,42.355778,-71.0724,2668,2108.0,2.0,1.5,1100.0,102.1933,3300.0,32.2917451535
51,110.0,0.0,0.007,47.61,1.75,0.0,1.369,11.12,216805996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,29.0,10.0,0.0,11.12,0.391,0.0,41.0,19.0,4.051,0.0,0.0,0.0,3.799,0.0,0.352,0.115,0.0,0.0,0.0,3.0,27.67,42.35793,-71.06789,2373,2108.0,1.0,1.0,730.0,67.81919,2990.0,44.0878164425
52,111.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.357758,-71.06894,2693,2108.0,4.0,3.5,9999.0,928.937097,7000.0,7.53549408524
53,117.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,419,2108.0,1.0,1.0,606.0,56.299218,2175.0,38.6328634263
54,119.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.358063,-71.06974,2703,2108.0,1.0,1.0,600.0,55.7418,3000.0,53.8195752559
55,122.0,0.0,0.0,43.3,3.583,0.0,2.257,4.928,18049700.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,5.0,0.0,11.0,0.0,212.2,4.928,2.022,0.39,10.0,0.0,2.738,0.0,0.017,0.653,2.387,0.022,0.075,1.17,0.0,0.0,0.0,0.0,10.64,42.303974,-71.07125,420,2108.0,1.0,1.0,630.0,58.52889,2000.0,34.1711588926
56,127.0,0.0,0.035,50.87,1.745,0.0,0.514,2.51,258957439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,22.0,6.0,0.0,2.51,4.223,0.0,38.0,14.0,2.564,0.0,0.0,0.116,1.925,0.0,0.04,1.297,0.0,0.0,0.0,0.0,23.75,42.358063,-71.06974,2704,2108.0,1.0,1.0,1068.0,99.220404,3000.0,30.2357164359
57,130.0,0.0,0.004,34.12,0.217,0.0,4.409,22.56,173725104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,31.0,6.0,145.0,22.56,0.0,0.0,34.0,18.0,1.013,0.0,0.0,0.175,2.47,0.0,0.068,0.078,0.952,0.0,0.0,0.0,27.81,42.356266,-71.07004,2316,2108.0,2.0,2.0,4035.0,374.863605,5200.0,13.8717120858
63,136.0,0.0,0.0,58.24,1.238,0.0,0.0,0.001,115347100.0,0.0,3.0,0.0,0.123,0.0,0.0,0.0,7.0,0.0,20.0,9.0,238.0,0.001,0.003,0.024,39.0,15.0,0.0,0.0,0.0,0.0,13.85,0.0,0.124,0.043,0.0,0.0,0.028,9.0,7.956,42.361675,-71.053185,2643,2109.0,1.0,1.0,780.0,72.46434,2650.0,36.5697113918
