	Latitude	Longitude	Address	Zip	Price	RoomType	Bathrooms	SQFT	Date
186	42.36499	-71.052605	North End Boston 02109	2109	2300.0	1	1.0	550	30/11/2016
187	42.36569	-71.052765	North End Boston 02109	2109	2500.0	1	1.0		30/11/2016
188	42.364964	-71.052536	North End Boston 02109	2109	1900.0		1.0		30/11/2016
189	42.36523	-71.05233	North End Boston 02109	2109	2000.0	1	1.0	500	30/11/2016
190	42.366226	-71.05108	North End Boston 02109	2109	2700.0	2	1.0	950	30/11/2016
191	42.36277	-71.05315	North End Boston 02109	2109	2800.0	1	2.0		30/11/2016
192	42.365883	-71.05176	North End Boston 02109	2109	1550.0	1	1.0		30/11/2016
193	42.365074	-71.05269	North End Boston 02109	2109	1900.0		1.0		30/11/2016
194	42.36593	-71.05241	6 Hanover Ave #336 Boston 02109	2109	1800.0	1	1.0	600	30/11/2016
195	42.365963	-71.051926	North End Boston 02109	2109	1550.0	1	1.0		30/11/2016
196	42.36648	-71.05226	16 Battery St #GB16 Boston 02109	2109	2495.0	2	2.0		30/11/2016
197	42.36195	-71.05332	77 Fulton St #4 Boston 02109	2109	3000.0	2	1.0	1200	30/11/2016
198	42.357876	-71.05435	120 Milk St #72 Boston 02109	2109	2990.0	2	2.0	1200	30/11/2016
199	42.36513	-71.05145	300 Commercial St #512 Boston 02109	2109	2500.0	1	1.0	577	30/11/2016
200	42.366226	-71.05108	357 Commercial St #815 Boston 02109	2109	3200.0	2	2.0	1243	30/11/2016
201	42.366226	-71.05108	357 Commercial St Boston 02109	2109	2800.0	2	1.5		30/11/2016
202	42.366226	-71.05108	357 Commercial St #312 Boston 02109	2109	2300.0	1	1.0	800	30/11/2016
203	42.362297	-71.05264	North End Boston 02109	2109	2550.0	1	1.0	850	30/11/2016
204	42.357876	-71.05435	120 Milk St #3 Boston 02109	2109	2500.0	1	1.0		30/11/2016
205	42.357754	-71.05401	153 Milk St Boston 02109	2109	2900.0	1	1.0		30/11/2016
206	42.366226	-71.05108	357 Commercial St #18 Boston 02109	2109	2900.0	2	1.5	1500	30/11/2016
207	42.362587	-71.05272	125 Fulton St Boston 02109	2109	2700.0	2	2.0	762	30/11/2016
208	42.365223	-71.05231	30 Clark St #1 Boston 02109	2109	1850.0	1	1.0	400	30/11/2016
209	42.36648	-71.05226	16 Battery St Boston 02109	2109	2495.0	2	1.0		30/11/2016
210	42.35845	-71.05444	45 Broad St Boston 02109	2109	3500.0	1	1.0		30/11/2016
211	42.366722	-71.05223	5 Holden Ct #LOW1 Boston 02109	2109	1900.0	1	1.0		30/11/2016
212	42.358345	-71.05711	50 Devonshire St #1813 Boston 02109	2109	3542.0	2	2.0		30/11/2016
213	42.35845	-71.05444	45 Broad St #403 Boston 02109	2109	3400.0	1	1.0	700	30/11/2016
214	42.364944	-71.05247	27 Clark St #9 Boston 02109	2109	3000.0	2	1.0	610	30/11/2016
215	42.357876	-71.05435	120 Milk St #301 Boston 02109	2109	2400.0	1	1.0	550	30/11/2016
216	42.36195	-71.05332	77 Fulton St #404 Boston 02109	2109	3000.0	2	1.0		30/11/2016
217	42.35933	-71.05491	126 State St #301 Boston 02109	2109	3100.0	2	2.0	1015	30/11/2016
218	42.367577	-71.05437	North End Boston 02109	2109	3400.0	3	1.0	820	30/11/2016
219	42.366074	-71.05176	North End Boston 02109	2109	3000.0	2	1.0		30/11/2016
220	42.36566	-71.05249	North End Boston 02109	2109	1600.0	1	1.0		30/11/2016
221	42.36583	-71.052025	North End Boston 02109	2109	900.0				30/11/2016
222	42.365547	-71.050934	North End Boston 02109	2109	2150.0		1.0	539	30/11/2016
223	42.3617	-71.0539	North End Boston 02109	2109	4100.0	2	2.0	1300	30/11/2016
224	42.364964	-71.052536	North End Boston 02109	2109	1900.0		1.0	400	30/11/2016
225	42.367416	-71.05263	North End Boston 02109	2109	1825.0	1	1.0	450	30/11/2016
226	42.366226	-71.05108	357 Commercial St #MM312 Boston 02109	2109	2300.0	1	1.0	800	30/11/2016
227	42.36272	-71.05257	139 Fulton St #NEWPRICE5 Boston 02109	2109	2600.0	2	1.0		30/11/2016
228	42.362644	-71.05233	162 Commercial St #1B Boston 02109	2109	2250.0	1	1.0	1300	30/11/2016
