longitude,latitude,bathrooms,last_sold_price,zestimate_amount,prices,property_size,zip,zestimate_valuation_range_high,long,tax_year,zestimate_value_change,status,zestimate_percentile,bedrooms,zestimate_last_updated,zillow_id,address,lat,last_sold_date,tax_value,zillow,year_built,zestimate_valuationRange_low,graph_data_link,home_size,home_detail_link,home_type,property,map_this_home_link
-71.080835,42.314193,3,473000,820242,"899,000",6534,2121,861254,-71.0808349,2014,217695,Condo For Sale,0,10,11/12/2016,59111377,"35 Holborn St # 35R, Dorchester, MA",42.314193,02/01/2016,337700,0,1890,771027,http://www.zillow.com/homedetails/35-Holborn-St-35R-Dorchester-MA-02121/59111377_zpid/#charts-and-data,3500,http://www.zillow.com/homedetails/35-Holborn-St-35R-Dorchester-MA-02121/59111377_zpid/,Condominium,0,http://www.zillow.com/homes/59111377_zpid/
-71.050719,42.356587,2,1557500,2552374,"2,500,000",,2110,2986278,-71.0502418,2014,95196,Condo For Sale,0,2,11/12/2016,59163949,"10 Rowes Wharf APT 903, Boston, MA",42.3570124,11/29/2012,1537346,0,1987,2373708,http://www.zillow.com/homedetails/10-Rowes-Wharf-APT-903-Boston-MA-02110/59163949_zpid/#charts-and-data,1739,http://www.zillow.com/homedetails/10-Rowes-Wharf-APT-903-Boston-MA-02110/59163949_zpid/,Condominium,0,http://www.zillow.com/homes/59163949_zpid/
-71.128726,42.284797,1,104000,194210,"188,000",483,2131,211689,-71.1289168,2015,3534,For Sale by Owner,0,1,11/12/2016,59143988,"79 Poplar St APT 4, Boston, MA",42.2849218,08/16/2013,98800,0,1930,170905,http://www.zillow.com/homedetails/79-Poplar-St-APT-4-Boston-MA-02131/59143988_zpid/#charts-and-data,483,http://www.zillow.com/homedetails/79-Poplar-St-APT-4-Boston-MA-02131/59143988_zpid/,Condominium,0,http://www.zillow.com/homes/59143988_zpid/
-71.065326,42.287206,2,,618591,"409,900",6534,2124,655706,-71.065326,2014,6566,House For Sale,0,5,11/12/2016,59105103,"521 Talbot Ave, Dorchester Center, MA",42.287206,,320300,0,1910,587661,http://www.zillow.com/homedetails/521-Talbot-Ave-Dorchester-Center-MA-02124/59105103_zpid/#charts-and-data,3113,http://www.zillow.com/homedetails/521-Talbot-Ave-Dorchester-Center-MA-02124/59105103_zpid/,SingleFamily,0,http://www.zillow.com/homes/59105103_zpid/
-71.06754,42.36595,,,,"3,500,000",,2114,,-71.0669497,,,Condo For Sale,0,0,12/31/1969,2096356275,"6 Whittier Pl # 101-105, Boston, MA",42.3657336,,,0,,,,4866,http://www.zillow.com/homedetails/6-Whittier-Pl-101-105-Boston-MA-02114/2096356275_zpid/,Condominium,0,http://www.zillow.com/homes/2096356275_zpid/
-71.06754,42.36595,1,,,"469,900",,2114,,-71.0669497,,,Condo For Sale,0,5,12/31/1969,2096356393,"6 Whittier Pl # 105S, Boston, MA",42.3657336,,,0,,,,788,http://www.zillow.com/homedetails/6-Whittier-Pl-105S-Boston-MA-02114/2096356393_zpid/,Condominium,0,http://www.zillow.com/homes/2096356393_zpid/
-71.06754,42.36595,2,,,"437,500",,2114,,-71.0669497,,,Condo For Sale,0,4,12/31/1969,2096356452,"6 Whittier Pl # 103, Boston, MA",42.3657336,,,0,,,,733,http://www.zillow.com/homedetails/6-Whittier-Pl-103-Boston-MA-02114/2096356452_zpid/,Condominium,0,http://www.zillow.com/homes/2096356452_zpid/
-71.068189,42.365455,2,,433524,"439,900",739,2114,485547,-71.0669497,2006,2379,Condo For Sale,0,4,11/12/2016,59179900,"6 Whittier Pl UNIT 105N, Boston, MA",42.3657336,,145000,0,,342484,http://www.zillow.com/homedetails/6-Whittier-Pl-UNIT-105N-Boston-MA-02114/59179900_zpid/#charts-and-data,739,http://www.zillow.com/homedetails/6-Whittier-Pl-UNIT-105N-Boston-MA-02114/59179900_zpid/,Condominium,0,http://www.zillow.com/homes/59179900_zpid/
-71.050202,42.337494,1,93900,485592,"425,000",,2127,519583,-71.0502016,2014,8510,Condo For Sale,0,2,11/12/2016,59147650,"350 W 4th St APT 301, Boston, MA",42.3374932,10/02/1995,289700,0,1899,456456,http://www.zillow.com/homedetails/350-W-4th-St-APT-301-Boston-MA-02127/59147650_zpid/#charts-and-data,789,http://www.zillow.com/homedetails/350-W-4th-St-APT-301-Boston-MA-02127/59147650_zpid/,Condominium,0,http://www.zillow.com/homes/59147650_zpid/
-71.06754,42.36595,2,,,"675,000",,2114,,-71.0669497,,,Condo For Sale,0,9,12/31/1969,2096356707,"6 Whittier Pl # 102, Boston, MA",42.3657336,,,0,,,,1145,http://www.zillow.com/homedetails/6-Whittier-Pl-102-Boston-MA-02114/2096356707_zpid/,Condominium,0,http://www.zillow.com/homes/2096356707_zpid/
